trial_id,controller,push_magnitude_N,push_direction_deg,push_duration_s,impulse_Ns,success,failure_reason,recovered_at_s,recovery_latency_s,max_torso_error_rad,max_com_displacement_m,max_joint_torque_Nm,max_contact_force_N,min_friction_margin,seed,mass_kg,force_over_mg,impulse_over_mass_m_s
calibration_pd_40_135,pd,40.0,135.0,0.15,6.0,False,FALL,,,1.8956407132838278,0.8308877143330516,139.0,3052.1569992646223,0.0,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_40_180,pd,40.0,180.0,0.15,6.0,False,FALL,,,1.7156520447686532,0.9937791148394604,139.0,2903.500857796259,0.0,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_40_225,pd,40.0,225.0,0.15,6.0,False,FALL,,,1.81276182489449,0.7810912534711666,139.0,2183.4678557989837,0.0,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_40_270,pd,40.0,270.0,0.15,6.0,False,FALL,,,1.7364795693676804,0.7776798716555313,139.0,2987.3683607497737,-2.220446049250313e-16,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_40_315,pd,40.0,315.0,0.15,6.0,False,FALL,,,1.973977067491423,0.855007805719354,139.0,2461.3104780477715,-2.220446049250313e-16,0,35.112142000000006,0.11612712113605099,0.17088105875169904
calibration_pd_60_0,pd,60.0,0.0,0.15,9.0,False,FALL,,,1.9449768443049564,0.6815185700862724,139.0,2805.700139730107,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_45,pd,60.0,45.0,0.15,9.0,False,FALL,,,1.8318076234021807,0.6876817300554893,139.0,2785.5518099044116,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_90,pd,60.0,90.0,0.15,9.0,False,FALL,,,1.913836204565888,0.9592560656441572,139.0,1602.0028674187008,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_135,pd,60.0,135.0,0.15,9.0,False,FALL,,,1.9440867820245002,0.7916954635040611,139.0,2452.8068095702174,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_180,pd,60.0,180.0,0.15,9.0,False,FALL,,,1.6260402490014516,0.672210141416668,139.0,3109.1211912068943,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_225,pd,60.0,225.0,0.15,9.0,False,FALL,,,1.8088055981658708,0.726310373295911,139.0,1871.143672125125,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_270,pd,60.0,270.0,0.15,9.0,False,FALL,,,1.850616757112995,0.8250797296043073,139.0,2538.9554015048852,0.0,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_60_315,pd,60.0,315.0,0.15,9.0,False,FALL,,,1.8351716051924178,0.6935613564460454,139.0,3173.7404475214867,-2.220446049250313e-16,0,35.112142000000006,0.17419068170407648,0.2563215881275485
calibration_pd_80_0,pd,80.0,0.0,0.15,12.0,False,FALL,,,1.8276608213771883,0.766380169183113,139.0,3059.0277824153372,0.0,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_45,pd,80.0,45.0,0.15,12.0,False,FALL,,,2.108626436044173,0.7000349153345984,139.0,2484.5174469779954,0.0,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_90,pd,80.0,90.0,0.15,12.0,False,FALL,,,1.7570963380765403,0.7136784089912867,139.0,2371.4529293847436,0.0,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_135,pd,80.0,135.0,0.15,12.0,False,FALL,,,1.7973843249036636,0.6831810524042197,139.0,2150.5300228503274,0.0,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_180,pd,80.0,180.0,0.15,12.0,False,FALL,,,1.7277895677338406,1.1588323885081802,139.0,3309.0696080605508,0.0,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_225,pd,80.0,225.0,0.15,12.0,False,FALL,,,1.7310866799360172,0.7082134918377908,139.0,2646.3710099173168,-2.220446049250313e-16,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_270,pd,80.0,270.0,0.15,12.0,False,FALL,,,1.7305693701662093,0.7603167922672359,139.0,1755.2817535104919,0.0,0,35.112142000000006,0.23225424227210198,0.3417621175033981
calibration_pd_80_315,pd,80.0,315.0,0.15,12.0,False,FALL,,,2.004293671265614,0.6737225180506806,139.0,2835.2950314787477,-2.220446049250313e-16,0,35.112142000000006,0.23225424227210198,0.3417621175033981
