{'trial_id': 'pd_10_315', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 315.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.0440077044053035, 'max_com_displacement_m': 0.02285252019624094, 'max_joint_torque_Nm': 4.894697596434803, 'max_contact_force_N': 195.6993322740205, 'min_friction_margin': 0.9633236309524026, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_330', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 330.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.04842106516091492, 'max_com_displacement_m': 0.025032708644737015, 'max_joint_torque_Nm': 5.3683574157662175, 'max_contact_force_N': 188.74741515578873, 'min_friction_margin': 0.9687350410490598, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_10_345', 'controller': 'pd', 'push_magnitude_N': 10.0, 'push_direction_deg': 345.0, 'push_duration_s': 0.15, 'impulse_Ns': 1.5, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.05122986576200441, 'max_com_displacement_m': 0.026420441878385208, 'max_joint_torque_Nm': 5.668427822212035, 'max_contact_force_N': 181.07178894815644, 'min_friction_margin': 0.9728169649483753, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.029031780284012747, 'impulse_over_mass_m_s': 0.04272026468792476}
{'trial_id': 'pd_20_0', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 0.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.6725810140220976, 'max_com_displacement_m': 0.7679406232863606, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2229.155132874067, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_15', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 14.999999999999998, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.7830614353382461, 'max_com_displacement_m': 0.7538853523480471, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2391.2075291383617, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_30', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 29.999999999999996, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.6969764136124883, 'max_com_displacement_m': 0.8247788268133714, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2160.9896888170683, 'min_friction_margin': -2.220446049250313e-16, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_45', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 45.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 2.189578125522226, 'max_com_displacement_m': 0.7183582218806492, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 3310.4844498878288, 'min_friction_margin': -2.220446049250313e-16, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_60', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 59.99999999999999, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.756717618365579, 'max_com_displacement_m': 0.7291210554576905, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2030.1865248313434, 'min_friction_margin': -2.220446049250313e-16, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_75', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 75.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.039026089682794876, 'max_com_displacement_m': 0.020384389508692487, 'max_joint_torque_Nm': 4.355408721881556, 'max_contact_force_N': 235.75080067431324, 'min_friction_margin': 0.8771312299876625, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_90', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 90.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03191232335322722, 'max_com_displacement_m': 0.01684707618913062, 'max_joint_torque_Nm': 4.008328536959124, 'max_contact_force_N': 238.1116657931833, 'min_friction_margin': 0.8741501562218953, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
